"term","hr","lo","hi","p","def","term2"
"prog:age10",0.884661203125319,0.80908036478187,0.967302481164692,0.00715370521179269,"first","age10"
"prog:male",1.10933494425401,0.926440262440715,1.32833607134145,0.258984285421438,"first","male"
"prog:av_lin",0.757481507661154,0.655319336327209,0.87557043206508,0.000171483500744144,"first","av_lin"
"prog:ef_catlt40",0.837963399530086,0.596504221677223,1.17716293269083,0.308001178806867,"first","ef_catlt40"
"prog:ef_cat40to49",0.979865672531461,0.694005397055005,1.38347156993281,0.907989309041979,"first","ef_cat40to49"
"prog:zE",0.910381852025934,0.8288696663361,0.99991005843143,0.0497765224493933,"first","zE"
"prog:zla",0.977835013510081,0.885049976080917,1.08034725663768,0.659461644359813,"first","zla"
"prog:zivs",0.956835734752413,0.879363332640112,1.04113349888093,0.305711224447669,"first","zivs"
"prog:eglt30",0.924496252699459,0.631417539801726,1.35361035666467,0.686531883599822,"first","eglt30"
"prog:eg30to60",0.780091639861909,0.616520996886377,0.987059596762762,0.0385943833625717,"first","eg30to60"
"prog:esrd",0.62414508931436,0.374616361341881,1.03988275130277,0.0703199590466873,"first","esrd"
"prog:af",0.958633255598959,0.773801891989171,1.18761368801761,0.699063973721049,"first","af"
"prog:zbmi",0.987192004452018,0.898669271096637,1.08443460235907,0.787983636155638,"first","zbmi"
"prog:age10",0.850945376911913,0.721686362663363,1.00335557376401,0.0548392129106747,"confirmed","age10"
"prog:male",1.09510685408804,0.77839716558144,1.54067752928517,0.60192633825107,"confirmed","male"
"prog:av_lin",0.745268011081374,0.585618980804686,0.948439901278456,0.0168304580946888,"confirmed","av_lin"
"prog:ef_catlt40",0.967998374341418,0.429661203964191,2.18083653837576,0.937441665885382,"confirmed","ef_catlt40"
"prog:ef_cat40to49",0.967702877673159,0.458739136909283,2.04135375448051,0.93130344738788,"confirmed","ef_cat40to49"
"prog:zE",0.900559226977937,0.783073703854834,1.03567124946574,0.141951358461708,"confirmed","zE"
"prog:zla",0.989213940294743,0.820094649583643,1.19320888164586,0.909738592330508,"confirmed","zla"
"prog:zivs",0.927972239291834,0.796739691155125,1.0808203563297,0.336586929249859,"confirmed","zivs"
"prog:eglt30",0.837606507185038,0.400876115196374,1.75012836705185,0.637400986207356,"confirmed","eglt30"
"prog:eg30to60",0.731831348298149,0.477440486345318,1.12176729387067,0.151943017156912,"confirmed","eg30to60"
"prog:esrd",0.35226062192225,0.143715866504928,0.863422729687233,0.0225457686248009,"confirmed","esrd"
"prog:af",0.964575969988061,0.613178574775869,1.5173504752975,0.876002317044735,"confirmed","af"
"prog:zbmi",1.03959863263933,0.871022115520378,1.24080123538525,0.66703405624588,"confirmed","zbmi"
