"row","blank","mild","modsev"
"Patients, n","21637","6945","2324"
"Age, years, mean (SD)","61.4 (15.2)","72.9 (11.3)","77.4 (10.7)"
"Women, n (%)","9997 (46.2)","3278 (47.2)","1492 (64.2)"
"Inpatient at index echocardiogram, n (%)","9948 (46.0)","3728 (53.7)","1389 (59.8)"
"  Intensive care, n (%)","2311 (10.7)","773 (11.1)","276 (11.9)"
"Aortic valve calcification, n (%)","","",""
"  None","10539 (54.4)","1197 (18.7)","172 (8.5)"
"  Mild","7962 (41.1)","4184 (65.4)","959 (47.2)"
"  Moderate","667 (3.4)","776 (12.1)","549 (27.0)"
"  Severe","198 (1.0)","244 (3.8)","350 (17.2)"
"  Not recorded","2271 (10.5)","544 (7.8)","294 (12.7)"
"Left ventricular ejection fraction, n (%)","","",""
"  <40%","1700 (9.2)","759 (12.6)","196 (9.6)"
"  40 to 49%","1298 (7.0)","566 (9.4)","154 (7.6)"
"  >=50%","15521 (83.8)","4722 (78.1)","1684 (82.8)"
"  Not recorded","3118 (14.4)","898 (12.9)","290 (12.5)"
"E/e' (septal), median (IQR)","10.0 (8.0 to 13.0)","12.9 (10.0 to 16.7)","18.0 (14.0 to 24.0)"
"Left atrial dimension, cm, mean (SD)","3.9 (0.8)","4.1 (0.8)","4.3 (0.8)"
"Septal wall thickness, cm, mean (SD)","1.1 (0.2)","1.1 (0.2)","1.2 (0.2)"
"Body mass index, kg/m2, mean (SD)","29.2 (7.3)","29.3 (6.9)","29.2 (7.4)"
"Baseline eGFR, mL/min/1.73 m2, n (%)","","",""
"  >=60","13566 (81.9)","3812 (69.3)","1113 (58.2)"
"  30 to 59","2151 (13.0)","1239 (22.5)","543 (28.4)"
"  <30","847 (5.1)","448 (8.1)","257 (13.4)"
"  No creatinine in prior year","5073 (23.4)","1446 (20.8)","411 (17.7)"
"Dialysis dependence, n (%)","431 (2.0)","241 (3.5)","161 (6.9)"
"Atrial fibrillation or flutter, n (%)","3305 (15.3)","1824 (26.3)","728 (31.3)"
"Serum phosphate, mg/dL, mean (SD)*","3.4 (0.8)","3.5 (0.9)","3.6 (0.9)"
"Serum calcium, mg/dL, mean (SD)*","8.9 (0.7)","8.9 (0.6)","8.9 (0.7)"
"Alkaline phosphatase, U/L, median (IQR)*","79 (62 to 106)","81 (64 to 107)","82 (65 to 112)"
"Diabetes, n (%)+","1566 (28.9)","690 (40.0)","278 (49.9)"
"Hypertension, n (%)+","3430 (63.3)","1414 (82.1)","499 (89.6)"
"Coronary artery disease, n (%)+","1389 (25.6)","724 (42.0)","277 (49.7)"
"Echocardiography episodes per patient, median (IQR)","3 (2 to 4)","3 (2 to 4)","3 (2 to 4)"
"Follow-up to last echocardiogram, years, median (IQR)","3.2 (0.9 to 6.9)","2.9 (1.0 to 6.2)","1.8 (0.5 to 4.5)"
"Died after index, n (%)","5659 (26.2)","2707 (39.0)","1145 (49.3)"
