"characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed","hr_ratio_progression_vs_onset","p_interaction","note"
"Age, per 10 years","1.44 (1.34–1.53)","1.20 (1.05–1.38)","1.26 (1.19–1.34)","1.03 (0.93–1.14)","0.88 (0.81–0.97)","0.007",""
"Male sex","0.67 (0.58–0.77)","0.57 (0.43–0.75)","0.73 (0.65–0.82)","0.62 (0.50–0.76)","1.11 (0.93–1.33)","0.259",""
"Aortic valve calcification, mild vs none","1.64 (1.37–1.96)","2.30 (1.57–3.39)","1.04 (0.88–1.22)","1.31 (0.96–1.78)","0.76 (0.66–0.88)","<0.001","HR ratio for aortic valve calcification is per grade"
"Aortic valve calcification, moderate vs none","4.46 (3.44–5.78)","8.36 (5.07–13.78)","2.14 (1.75–2.61)","3.13 (2.18–4.50)","","",""
"Aortic valve calcification, severe vs none","8.94 (6.07–13.16)","14.35 (7.43–27.72)","3.07 (2.30–4.10)","5.44 (3.38–8.75)","","",""
"LVEF <40% vs ≥50%","0.91 (0.70–1.20)","0.45 (0.22–0.89)","0.76 (0.61–0.94)","0.44 (0.28–0.69)","0.84 (0.60–1.18)","0.308",""
"LVEF 40–49% vs ≥50%","0.94 (0.71–1.24)","0.72 (0.39–1.34)","0.92 (0.75–1.12)","0.70 (0.47–1.05)","0.98 (0.69–1.38)","0.908",""
"E/e', per SD","1.37 (1.26–1.49)","1.46 (1.29–1.65)","1.25 (1.19–1.31)","1.33 (1.22–1.44)","0.91 (0.83–1.00)","0.050",""
"Left atrial dimension, per SD","1.11 (1.03–1.21)","1.12 (0.95–1.32)","1.10 (1.04–1.17)","1.11 (1.01–1.23)","0.98 (0.89–1.08)","0.659",""
"Septal wall thickness, per SD","1.15 (1.08–1.22)","1.21 (1.08–1.35)","1.10 (1.04–1.16)","1.12 (1.01–1.23)","0.96 (0.88–1.04)","0.306",""
"Body mass index, per SD","1.07 (1.00–1.16)","1.01 (0.87–1.17)","1.05 (0.99–1.11)","1.04 (0.95–1.15)","0.99 (0.90–1.08)","0.788",""
"Atrial fibrillation or flutter","1.00 (0.84–1.20)","0.80 (0.54–1.20)","0.94 (0.82–1.07)","0.82 (0.64–1.05)","0.96 (0.77–1.19)","0.699",""
"eGFR 30–59 vs ≥60","1.49 (1.23–1.80)","1.68 (1.18–2.39)","1.16 (1.00–1.34)","1.24 (0.96–1.61)","0.78 (0.62–0.99)","0.039",""
"eGFR <30 vs ≥60","2.03 (1.49–2.76)","1.89 (0.98–3.65)","1.89 (1.49–2.39)","1.59 (1.03–2.45)","0.92 (0.63–1.35)","0.687",""
"Dialysis dependence","2.71 (1.85–3.98)","4.74 (2.35–9.56)","1.58 (1.13–2.21)","1.63 (0.90–2.96)","0.62 (0.37–1.04)","0.070",""
