"characteristic","outpatient index, first-observed","outpatient index, confirmed","inpatient index, first-observed","inpatient index, confirmed"
"Age, per 10 years","1.50 (1.37–1.65)","1.31 (1.09–1.58)","1.37 (1.24–1.50)","1.10 (0.90–1.35)"
"Male sex","0.84 (0.70–1.01)","0.70 (0.49–1.00)","0.51 (0.41–0.63)","0.43 (0.27–0.67)"
"Aortic valve calcification, mild vs none","1.65 (1.31–2.08)","2.64 (1.57–4.45)","1.58 (1.20–2.08)","1.72 (0.95–3.12)"
"Aortic valve calcification, moderate vs none","4.06 (2.88–5.72)","8.53 (4.43–16.43)","4.97 (3.40–7.26)","7.65 (3.54–16.51)"
"Aortic valve calcification, severe vs none","9.28 (5.79–14.89)","13.67 (5.89–31.73)","7.53 (3.74–15.18)","14.09 (4.40–45.13)"
"LVEF <40% vs ≥50%","0.93 (0.62–1.39)","0.45 (0.16–1.28)","0.93 (0.67–1.31)","0.46 (0.19–1.14)"
"LVEF 40–49% vs ≥50%","0.81 (0.51–1.29)","0.69 (0.27–1.81)","1.07 (0.75–1.51)","0.82 (0.36–1.86)"
"E/e', per SD","1.53 (1.36–1.73)","1.66 (1.36–2.02)","1.25 (1.13–1.39)","1.32 (1.12–1.56)"
"Left atrial dimension, per SD","1.08 (0.96–1.20)","1.08 (0.86–1.35)","1.14 (1.01–1.29)","1.13 (0.89–1.43)"
"Septal wall thickness, per SD","1.09 (1.00–1.20)","1.13 (0.96–1.33)","1.20 (1.10–1.31)","1.30 (1.10–1.53)"
"Body mass index, per SD","1.12 (1.01–1.24)","1.06 (0.87–1.30)","1.05 (0.94–1.16)","0.98 (0.79–1.22)"
"Atrial fibrillation or flutter","0.94 (0.66–1.34)","0.61 (0.27–1.39)","1.02 (0.82–1.26)","0.86 (0.54–1.36)"
"eGFR 30–59 vs ≥60","1.23 (0.93–1.62)","1.04 (0.62–1.73)","1.91 (1.50–2.43)","2.96 (1.80–4.87)"
"eGFR <30 vs ≥60","1.76 (1.12–2.74)","2.05 (0.86–4.86)","2.51 (1.66–3.81)","1.49 (0.64–3.44)"
"Dialysis dependence","4.58 (2.54–8.26)","5.76 (1.80–18.38)","1.96 (1.21–3.17)","4.71 (2.23–9.95)"
