"characteristic","outpatient index, first-observed","outpatient index, confirmed","inpatient index, first-observed","inpatient index, confirmed"
"Age, per 10 years","1.30 (1.18–1.42)","1.08 (0.94–1.24)","1.22 (1.13–1.33)","0.97 (0.83–1.13)"
"Male sex","0.79 (0.67–0.93)","0.70 (0.54–0.91)","0.68 (0.58–0.79)","0.52 (0.38–0.72)"
"Aortic valve calcification, mild vs none","1.03 (0.82–1.29)","1.53 (0.99–2.37)","1.05 (0.83–1.32)","1.10 (0.71–1.72)"
"Aortic valve calcification, moderate vs none","2.37 (1.80–3.12)","3.59 (2.20–5.87)","1.93 (1.43–2.60)","2.85 (1.60–5.07)"
"Aortic valve calcification, severe vs none","3.18 (2.05–4.92)","5.22 (2.60–10.47)","3.19 (2.16–4.70)","6.13 (3.08–12.22)"
"LVEF <40% vs ≥50%","0.69 (0.46–1.05)","0.26 (0.10–0.68)","0.78 (0.61–0.99)","0.53 (0.32–0.89)"
"LVEF 40–49% vs ≥50%","0.98 (0.69–1.39)","0.87 (0.48–1.55)","0.91 (0.71–1.16)","0.60 (0.35–1.03)"
"E/e', per SD","1.39 (1.28–1.52)","1.51 (1.33–1.70)","1.17 (1.09–1.25)","1.17 (1.03–1.32)"
"Left atrial dimension, per SD","1.09 (1.00–1.19)","1.03 (0.91–1.17)","1.11 (1.02–1.21)","1.24 (1.06–1.46)"
"Septal wall thickness, per SD","1.06 (0.97–1.16)","1.09 (0.95–1.26)","1.11 (1.03–1.19)","1.11 (0.96–1.28)"
"Body mass index, per SD","1.08 (0.99–1.18)","1.00 (0.88–1.14)","1.01 (0.93–1.09)","1.09 (0.94–1.26)"
"Atrial fibrillation or flutter","0.98 (0.75–1.28)","0.84 (0.53–1.31)","0.93 (0.80–1.08)","0.77 (0.57–1.04)"
"eGFR 30–59 vs ≥60","1.08 (0.87–1.33)","1.13 (0.79–1.62)","1.25 (1.05–1.49)","1.39 (0.98–1.97)"
"eGFR <30 vs ≥60","1.70 (1.17–2.48)","1.46 (0.79–2.71)","2.04 (1.53–2.72)","1.69 (0.92–3.10)"
"Dialysis dependence","1.51 (0.77–2.98)","0.88 (0.24–3.20)","1.63 (1.13–2.36)","2.05 (1.03–4.08)"
