"characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed"
"Age, per 10 years","1.43 (1.33–1.53)","1.20 (1.05–1.38)","1.25 (1.17–1.34)","1.01 (0.91–1.13)"
"Male sex","0.65 (0.56–0.75)","0.56 (0.42–0.74)","0.69 (0.61–0.79)","0.60 (0.49–0.74)"
"Aortic valve calcification, mild vs none","1.65 (1.38–1.98)","2.25 (1.53–3.32)","1.06 (0.88–1.27)","1.33 (0.97–1.82)"
"Aortic valve calcification, moderate vs none","4.28 (3.25–5.63)","7.43 (4.46–12.36)","2.24 (1.78–2.81)","3.15 (2.16–4.58)"
"Aortic valve calcification, severe vs none","8.61 (5.49–13.51)","12.43 (6.19–24.95)","3.36 (2.32–4.89)","5.59 (3.35–9.35)"
"LVEF <40% vs ≥50%","0.83 (0.63–1.11)","0.41 (0.20–0.82)","0.70 (0.55–0.90)","0.42 (0.27–0.67)"
"LVEF 40–49% vs ≥50%","0.91 (0.68–1.20)","0.69 (0.37–1.29)","0.88 (0.69–1.12)","0.68 (0.45–1.04)"
"E/e', per SD","1.36 (1.24–1.48)","1.43 (1.25–1.62)","1.26 (1.19–1.35)","1.33 (1.22–1.45)"
"Left atrial dimension, per SD","1.11 (1.02–1.21)","1.10 (0.94–1.30)","1.11 (1.04–1.19)","1.12 (1.01–1.24)"
"Septal wall thickness, per SD","1.14 (1.07–1.22)","1.19 (1.06–1.34)","1.10 (1.03–1.18)","1.11 (1.00–1.23)"
"Body mass index, per SD","1.07 (1.00–1.16)","1.01 (0.87–1.17)","1.05 (0.98–1.13)","1.05 (0.94–1.16)"
"Atrial fibrillation or flutter","0.98 (0.81–1.19)","0.79 (0.53–1.18)","0.92 (0.79–1.08)","0.81 (0.62–1.05)"
"eGFR 30–59 vs ≥60","1.48 (1.21–1.80)","1.66 (1.17–2.38)","1.14 (0.97–1.34)","1.23 (0.94–1.62)"
"eGFR <30 vs ≥60","1.93 (1.39–2.68)","1.78 (0.92–3.46)","1.93 (1.47–2.53)","1.59 (1.01–2.50)"
"Dialysis dependence","2.78 (1.84–4.20)","4.80 (2.33–9.87)","1.57 (1.01–2.43)","1.57 (0.83–2.95)"
