"term","hr","lo","hi","p","stratum","def","n_pt","events"
"age10",1.19846578230454,1.03114664288329,1.39293498288332,0.0182855254233883,"onset","confirmed, first report only",21637,214
"male",0.525196536455712,0.390670483620265,0.706046178224168,1.99424309828633e-05,"onset","confirmed, first report only",21637,214
"av_catmild",2.47369617690778,1.62488834293858,3.76590354792119,2.40106772145372e-05,"onset","confirmed, first report only",21637,214
"av_catmod",8.44014101644976,4.7944351369058,14.8580548789177,1.44284204451161e-13,"onset","confirmed, first report only",21637,214
"av_catsev",15.290903870903,7.40271500257093,31.5845930996929,1.72143859646711e-13,"onset","confirmed, first report only",21637,214
"ef_catlt40",0.466550942864183,0.229709663028742,0.947586529088341,0.0349511045460171,"onset","confirmed, first report only",21637,214
"ef_cat40to49",0.748988946525285,0.393409634681961,1.42595501625314,0.378949531247837,"onset","confirmed, first report only",21637,214
"zE",1.44796434708682,1.27478037491427,1.64467604906105,1.23061384534303e-08,"onset","confirmed, first report only",21637,214
"zla",1.14291680524282,0.959845700381166,1.36090501128225,0.133652468539332,"onset","confirmed, first report only",21637,214
"zivs",1.23383361067849,1.09514176851982,1.3900897788763,0.000552605971313871,"onset","confirmed, first report only",21637,214
"zbmi",0.983829319950584,0.842182093477416,1.14930029775132,0.837144577294379,"onset","confirmed, first report only",21637,214
"af",0.901433807384804,0.593743407779661,1.36857588387375,0.626182106741479,"onset","confirmed, first report only",21637,214
"eglt30",2.11211374202306,1.09458042868734,4.07555657156457,0.0257826607361655,"onset","confirmed, first report only",21637,214
"eg30to60",1.68903103720388,1.13248871933742,2.51907661058832,0.0101684769019169,"onset","confirmed, first report only",21637,214
"esrd",4.60894483597243,2.25865100380039,9.40489365789342,2.68062997318382e-05,"onset","confirmed, first report only",21637,214
"age10",1.09122476098703,0.976846650520933,1.21899530326094,0.122264933293211,"progression","confirmed, first report only",6945,464
"male",0.592239357174066,0.476827984146269,0.73558488144093,2.1707164914655e-06,"progression","confirmed, first report only",6945,464
"av_catmild",1.29680611358194,0.937171954028689,1.79444774141417,0.116782465106567,"progression","confirmed, first report only",6945,464
"av_catmod",2.91388375926182,1.97654573920963,4.29573593671809,6.63931058281573e-08,"progression","confirmed, first report only",6945,464
"av_catsev",5.11137801969083,3.0711987184025,8.50683646865034,3.44434089438147e-10,"progression","confirmed, first report only",6945,464
"ef_catlt40",0.477728980309656,0.299378553792286,0.76232908381958,0.00194730339300431,"progression","confirmed, first report only",6945,464
"ef_cat40to49",0.715888366594652,0.470913627302489,1.08830181101631,0.117810761165359,"progression","confirmed, first report only",6945,464
"zE",1.32212057281909,1.2170501956135,1.43626188580525,3.85862202791666e-11,"progression","confirmed, first report only",6945,464
"zla",1.1300963747357,1.01599753416115,1.25700877536599,0.0243051385707055,"progression","confirmed, first report only",6945,464
"zivs",1.14714935358168,1.03418278290783,1.27245556701571,0.00944606479287602,"progression","confirmed, first report only",6945,464
"zbmi",1.0661496111706,0.96039397017887,1.18355073927371,0.22944579119503,"progression","confirmed, first report only",6945,464
"af",0.74663321634766,0.571744359444083,0.975018206206146,0.0318890544314566,"progression","confirmed, first report only",6945,464
"eglt30",1.64763711722684,1.03589428893102,2.62064198931437,0.0349497697128208,"progression","confirmed, first report only",6945,464
"eg30to60",1.2445140809082,0.941637910149006,1.64480983707813,0.124203301322677,"progression","confirmed, first report only",6945,464
"esrd",1.72232286048866,0.925946017098637,3.20363820458645,0.0859768458751718,"progression","confirmed, first report only",6945,464
