"term","hr","lo","hi","p","stratum","def","n_pt","events"
"age10",1.24083973456347,1.07939640592543,1.42642984395662,0.00241064952271799,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"male",0.566855522844722,0.429678862503374,0.747826369459913,5.92875680636453e-05,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"av_catmild",2.21893199745226,1.5098524363167,3.26102014401409,4.96138650030695e-05,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"av_catmod",8.2516479461462,5.01044124979113,13.58956036656,1.12071323926554e-16,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"av_catsev",14.7005858716345,7.59555677557772,28.4517950894868,1.48367943618367e-15,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"ef_catlt40",0.4782902009002,0.238670649374195,0.958481978730842,0.0375655468851683,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"ef_cat40to49",0.729536023647374,0.391417120406414,1.35973308793087,0.320864408797236,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"zE",1.45843188755983,1.28742893734313,1.65214833141847,3.0188224262994e-09,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"zla",1.11219997542532,0.942704981108832,1.31216956537251,0.207460815546464,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"zivs",1.19783262317342,1.06766850632754,1.34386561431302,0.00210074383141516,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"zbmi",1.00719331561174,0.866513268632092,1.17071303087418,0.925602534993168,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"af",0.828688830063351,0.554052552575829,1.23945855655593,0.360270876934515,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"eglt30",1.98180013587445,1.01911632856276,3.85386012222067,0.043820344649091,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"eg30to60",1.69999810008998,1.19554921164581,2.41729366901687,0.00313228715236801,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"esrd",4.67965859289879,2.30476753711467,9.50169776059365,1.94838243988638e-05,"onset","confirmed, dated at the confirming echocardiogram",21637,250
"age10",1.09180811747602,0.982182294769242,1.21366977569738,0.103740459285793,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"male",0.63022797923709,0.51414114619282,0.772525810770857,8.79915378432295e-06,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"av_catmild",1.24032020726968,0.914232003921945,1.68271752680061,0.16641031422039,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"av_catmod",2.99012662211503,2.08041924585549,4.2976228152535,3.25409418981173e-09,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"av_catsev",5.75433379939033,3.54173712211045,9.34918553612894,1.58226823448642e-12,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"ef_catlt40",0.465380990382698,0.296747705243302,0.729843777669681,0.000863013501788125,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"ef_cat40to49",0.728869189987245,0.484137490949865,1.0973128626547,0.129743517439961,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"zE",1.3325057547541,1.22992863413765,1.44363789667983,2.15950500904781e-12,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"zla",1.10070503771264,0.993885144421466,1.21900562338239,0.0654406742095816,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"zivs",1.11840684212032,1.01033329501941,1.23804082342699,0.0309067268638749,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"zbmi",1.05187495034722,0.95378301584603,1.16005516221792,0.311257443087988,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"af",0.852295040014777,0.661897023749046,1.09746200567477,0.21533856621256,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"eglt30",1.70649399653703,1.09714008321814,2.6542843569028,0.0177234407300408,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"eg30to60",1.26970191351318,0.976350583234053,1.65119269334483,0.0748401301863201,"progression","confirmed, dated at the confirming echocardiogram",6945,528
"esrd",1.82589797820041,0.997715442755448,3.34153736018048,0.0508690906546344,"progression","confirmed, dated at the confirming echocardiogram",6945,528
