"term","hr","lo","hi","p","stratum","def","domain","n_pt","events"
"age10",1.42237377110532,1.33086970118765,1.52016921184918,2.89449701149191e-25,"onset","first","D3 prior-only AF and dialysis",21637,1039
"male",0.665031987955426,0.578621198107993,0.764347290507323,9.23375424191278e-09,"onset","first","D3 prior-only AF and dialysis",21637,1039
"av_catmild",1.64827743644374,1.37936187502788,1.96961983412412,3.81384781023939e-08,"onset","first","D3 prior-only AF and dialysis",21637,1039
"av_catmod",4.42625143025366,3.41746376087573,5.73281915908369,1.80012730262055e-29,"onset","first","D3 prior-only AF and dialysis",21637,1039
"av_catsev",8.91365528288002,6.0333312688585,13.1690515506945,4.46352564071651e-28,"onset","first","D3 prior-only AF and dialysis",21637,1039
"ef_catlt40",0.91240765870934,0.697477518999213,1.19356927355303,0.503577300171973,"onset","first","D3 prior-only AF and dialysis",21637,1039
"ef_cat40to49",0.938685857385077,0.711599581149049,1.23824010327825,0.65431661387336,"onset","first","D3 prior-only AF and dialysis",21637,1039
"zE",1.37548285496982,1.26705152254772,1.49319348948942,2.74532849479354e-14,"onset","first","D3 prior-only AF and dialysis",21637,1039
"zla",1.11545183435392,1.02898028737467,1.20919011766304,0.00795609605677682,"onset","first","D3 prior-only AF and dialysis",21637,1039
"zivs",1.15089788815522,1.07999929340183,1.22645075515557,1.47488797778523e-05,"onset","first","D3 prior-only AF and dialysis",21637,1039
"zbmi",1.06727589194073,0.992235577338323,1.14799131933311,0.0800420552203303,"onset","first","D3 prior-only AF and dialysis",21637,1039
"eglt30",2.33944910418941,1.74316022572493,3.13971259229288,1.49664662913606e-08,"onset","first","D3 prior-only AF and dialysis",21637,1039
"eg30to60",1.50107326869937,1.24088665427601,1.8158152883983,2.88607140835e-05,"onset","first","D3 prior-only AF and dialysis",21637,1039
"af_prior",1.02583120362705,0.839337891328378,1.25376164856497,0.803261854426249,"onset","first","D3 prior-only AF and dialysis",21637,1039
"esrd_prior",2.23873800191484,1.45834064400112,3.43674700546424,0.000228390745996351,"onset","first","D3 prior-only AF and dialysis",21637,1039
"age10",1.4921975986848,1.30409806228202,1.70742809756522,5.80348936801038e-09,"onset","first","D5 prior-only coded diagnoses",5421,250
"male",0.5789048650865,0.435887864860453,0.768846462215939,0.000159552510143919,"onset","first","D5 prior-only coded diagnoses",5421,250
"av_catmild",1.44005753862104,1.01671691265633,2.03966875019443,0.0400389911039779,"onset","first","D5 prior-only coded diagnoses",5421,250
"av_catmod",5.55084205922799,3.44748718218496,8.93747994937182,1.75182813673379e-12,"onset","first","D5 prior-only coded diagnoses",5421,250
"av_catsev",5.35579449587892,1.94716982681872,14.7313985082398,0.00115054921939534,"onset","first","D5 prior-only coded diagnoses",5421,250
"ef_catlt40",0.818188927068846,0.444245971745437,1.5068974463581,0.519578454343953,"onset","first","D5 prior-only coded diagnoses",5421,250
"ef_cat40to49",0.686703887160528,0.348044937342178,1.35488891820244,0.27835531591946,"onset","first","D5 prior-only coded diagnoses",5421,250
"zE",1.40110564297492,1.2063809794993,1.62726125174067,9.98099731916598e-06,"onset","first","D5 prior-only coded diagnoses",5421,250
"zla",1.14005882798269,0.937283606615091,1.38670315162678,0.189585019288563,"onset","first","D5 prior-only coded diagnoses",5421,250
"zivs",1.14100965871752,0.979195259273816,1.32956428144084,0.0909207485735043,"onset","first","D5 prior-only coded diagnoses",5421,250
"zbmi",0.94648978218324,0.807655854782249,1.10918889830719,0.496799915651114,"onset","first","D5 prior-only coded diagnoses",5421,250
"eglt30",2.68126069684555,1.59333016637295,4.51203339783245,0.000203805548839412,"onset","first","D5 prior-only coded diagnoses",5421,250
"eg30to60",1.20033716429849,0.847564448344504,1.69994070753013,0.303725160937714,"onset","first","D5 prior-only coded diagnoses",5421,250
"af_prior",1.06330841720909,0.756300726903996,1.49494076878129,0.723984158623791,"onset","first","D5 prior-only coded diagnoses",5421,250
"esrd_prior",1.577905851171,0.791334049903769,3.14631586428316,0.19520523580653,"onset","first","D5 prior-only coded diagnoses",5421,250
"dm_prior",1.21520104016205,0.902152879954533,1.63687729743251,0.199678444881519,"onset","first","D5 prior-only coded diagnoses",5421,250
"htn_prior",1.31676997632637,0.930158111636868,1.86407359013761,0.120725379182905,"onset","first","D5 prior-only coded diagnoses",5421,250
"cad_prior",0.760916031707131,0.535953430551129,1.08030506813538,0.126506648016806,"onset","first","D5 prior-only coded diagnoses",5421,250
"age10",1.18231257807599,1.03367354388921,1.35232544214803,0.0145595526237555,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"male",0.565396073290653,0.42826586353507,0.746435209787183,5.7347267977044e-05,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"av_catmild",2.31430728794951,1.57463780505614,3.40142870052916,1.94694054538612e-05,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"av_catmod",8.23166343635131,4.99978615875699,13.5526362083872,1.16499907212985e-16,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"av_catsev",14.0914523212541,7.29124653929068,27.2338930595941,3.55419547199227e-15,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"ef_catlt40",0.452242056148301,0.228405077357264,0.895439277075853,0.0227930101721103,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"ef_cat40to49",0.730002979111952,0.392900574216252,1.35633385259197,0.319398401580281,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"zE",1.47016532299343,1.30353329158045,1.65809810220637,3.40869667427624e-10,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"zla",1.11918048121823,0.953254571172623,1.31398787629107,0.169047795396644,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"zivs",1.21210825153851,1.08342904055672,1.35607073324598,0.000781069227135204,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
