"cohort","definition","characteristic","main_model","cloglog_unsplit","cox","confirmed_dated_at_confirming_echo","confirmed_first_report_only","diagnosis_codes_from_completed_admissions"
"onset","first-observed","Age, per 10 years","1.44 (1.34–1.53)","1.43 (1.33–1.53)","1.46 (1.37–1.57)","","","1.42 (1.33–1.52)"
"onset","first-observed","Male sex","0.67 (0.58–0.77)","0.65 (0.56–0.75)","0.67 (0.58–0.77)","","","0.67 (0.58–0.76)"
"onset","first-observed","Aortic valve calcification, mild vs none","1.64 (1.37–1.96)","1.65 (1.38–1.98)","1.64 (1.37–1.96)","","","1.65 (1.38–1.97)"
"onset","first-observed","Aortic valve calcification, moderate vs none","4.46 (3.44–5.78)","4.28 (3.25–5.63)","4.46 (3.43–5.79)","","","4.43 (3.42–5.73)"
"onset","first-observed","Aortic valve calcification, severe vs none","8.94 (6.07–13.16)","8.61 (5.49–13.51)","8.79 (5.95–12.98)","","","8.91 (6.03–13.17)"
"onset","first-observed","LVEF <40% vs ≥50%","0.91 (0.70–1.20)","0.83 (0.63–1.11)","0.92 (0.70–1.20)","","","0.91 (0.70–1.19)"
"onset","first-observed","LVEF 40–49% vs ≥50%","0.94 (0.71–1.24)","0.91 (0.68–1.20)","0.94 (0.71–1.24)","","","0.94 (0.71–1.24)"
"onset","first-observed","E/e', per SD","1.37 (1.26–1.49)","1.36 (1.24–1.48)","1.37 (1.26–1.49)","","","1.38 (1.27–1.49)"
"onset","first-observed","Left atrial dimension, per SD","1.11 (1.03–1.21)","1.11 (1.02–1.21)","1.11 (1.02–1.21)","","","1.12 (1.03–1.21)"
"onset","first-observed","Septal wall thickness, per SD","1.15 (1.08–1.22)","1.14 (1.07–1.22)","1.14 (1.07–1.22)","","","1.15 (1.08–1.23)"
"onset","first-observed","Body mass index, per SD","1.07 (1.00–1.16)","1.07 (1.00–1.16)","1.08 (1.01–1.16)","","","1.07 (0.99–1.15)"
"onset","first-observed","Atrial fibrillation or flutter","1.00 (0.84–1.20)","0.98 (0.81–1.19)","1.00 (0.83–1.20)","","","1.03 (0.84–1.25)"
"onset","first-observed","eGFR 30–59 vs ≥60","1.49 (1.23–1.80)","1.48 (1.21–1.80)","1.51 (1.24–1.83)","","","1.50 (1.24–1.82)"
"onset","first-observed","eGFR <30 vs ≥60","2.03 (1.49–2.76)","1.93 (1.39–2.68)","2.04 (1.49–2.79)","","","2.34 (1.74–3.14)"
"onset","first-observed","Dialysis dependence","2.71 (1.85–3.98)","2.78 (1.84–4.20)","2.80 (1.91–4.11)","","","2.24 (1.46–3.44)"
"onset","first-observed","Diabetes","1.19 (0.89–1.59)","","","","","1.22 (0.90–1.64)"
"onset","first-observed","Hypertension","1.35 (0.93–1.97)","","","","","1.32 (0.93–1.86)"
"onset","first-observed","Coronary artery disease","1.04 (0.76–1.41)","","","","","0.76 (0.54–1.08)"
"onset","confirmed","Age, per 10 years","1.20 (1.05–1.38)","1.20 (1.05–1.38)","1.22 (1.06–1.39)","1.24 (1.08–1.43)","1.20 (1.03–1.39)","1.18 (1.03–1.35)"
"onset","confirmed","Male sex","0.57 (0.43–0.75)","0.56 (0.42–0.74)","0.57 (0.43–0.75)","0.57 (0.43–0.75)","0.53 (0.39–0.71)","0.57 (0.43–0.75)"
"onset","confirmed","Aortic valve calcification, mild vs none","2.30 (1.57–3.39)","2.25 (1.53–3.32)","2.29 (1.56–3.37)","2.22 (1.51–3.26)","2.47 (1.62–3.77)","2.31 (1.57–3.40)"
"onset","confirmed","Aortic valve calcification, moderate vs none","8.36 (5.07–13.78)","7.43 (4.46–12.36)","8.29 (5.03–13.68)","8.25 (5.01–13.59)","8.44 (4.79–14.86)","8.23 (5.00–13.55)"
"onset","confirmed","Aortic valve calcification, severe vs none","14.35 (7.43–27.72)","12.43 (6.19–24.95)","14.04 (7.25–27.19)","14.70 (7.60–28.45)","15.29 (7.40–31.58)","14.09 (7.29–27.23)"
"onset","confirmed","LVEF <40% vs ≥50%","0.45 (0.22–0.89)","0.41 (0.20–0.82)","0.45 (0.23–0.90)","0.48 (0.24–0.96)","0.47 (0.23–0.95)","0.45 (0.23–0.90)"
"onset","confirmed","LVEF 40–49% vs ≥50%","0.72 (0.39–1.34)","0.69 (0.37–1.29)","0.73 (0.39–1.36)","0.73 (0.39–1.36)","0.75 (0.39–1.43)","0.73 (0.39–1.36)"
"onset","confirmed","E/e', per SD","1.46 (1.29–1.65)","1.43 (1.25–1.62)","1.46 (1.29–1.65)","1.46 (1.29–1.65)","1.45 (1.27–1.64)","1.47 (1.30–1.66)"
"onset","confirmed","Left atrial dimension, per SD","1.12 (0.95–1.32)","1.10 (0.94–1.30)","1.12 (0.95–1.31)","1.11 (0.94–1.31)","1.14 (0.96–1.36)","1.12 (0.95–1.31)"
"onset","confirmed","Septal wall thickness, per SD","1.21 (1.08–1.35)","1.19 (1.06–1.34)","1.20 (1.07–1.35)","1.20 (1.07–1.34)","1.23 (1.10–1.39)","1.21 (1.08–1.36)"
