"characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed"
"Age, per 10 years","1.37 (1.24–1.51)","1.11 (0.90–1.37)","1.27 (1.17–1.39)","0.98 (0.85–1.13)"
"Male sex","0.67 (0.54–0.83)","0.64 (0.41–0.98)","0.73 (0.61–0.87)","0.59 (0.43–0.81)"
"Aortic valve calcification, mild vs none","1.98 (1.55–2.52)","2.62 (1.53–4.49)","0.99 (0.79–1.24)","1.01 (0.68–1.50)"
"Aortic valve calcification, moderate vs none","5.37 (3.63–7.95)","9.43 (4.44–20.02)","1.98 (1.49–2.65)","2.43 (1.50–3.93)"
"Aortic valve calcification, severe vs none","6.63 (3.23–13.60)","16.37 (5.62–47.71)","3.44 (2.25–5.28)","5.03 (2.47–10.26)"
"LVEF <40% vs ≥50%","0.66 (0.43–1.00)","0.46 (0.18–1.22)","0.75 (0.54–1.03)","0.26 (0.12–0.56)"
"LVEF 40–49% vs ≥50%","0.81 (0.55–1.20)","0.44 (0.16–1.24)","0.96 (0.72–1.27)","0.62 (0.35–1.10)"
"E/e', per SD","1.33 (1.21–1.46)","1.38 (1.20–1.58)","1.22 (1.13–1.30)","1.31 (1.18–1.46)"
"Left atrial dimension, per SD","1.22 (1.08–1.37)","1.10 (0.86–1.40)","1.13 (1.04–1.24)","1.28 (1.10–1.49)"
"Septal wall thickness, per SD","1.15 (1.04–1.27)","1.34 (1.10–1.63)","1.18 (1.08–1.28)","1.29 (1.10–1.50)"
"Body mass index, per SD","0.98 (0.87–1.11)","0.99 (0.78–1.25)","1.12 (1.02–1.22)","1.04 (0.90–1.21)"
"Atrial fibrillation or flutter","0.91 (0.71–1.18)","1.01 (0.59–1.72)","0.95 (0.79–1.14)","0.77 (0.55–1.07)"
"eGFR 30–59 vs ≥60","1.87 (1.47–2.39)","2.52 (1.57–4.05)","1.21 (1.01–1.45)","1.51 (1.10–2.06)"
"eGFR <30 vs ≥60","3.22 (2.21–4.68)","3.47 (1.57–7.66)","2.21 (1.63–3.00)","1.80 (1.03–3.16)"
"Dialysis dependence","2.53 (1.58–4.04)","3.35 (1.31–8.55)","1.78 (1.18–2.69)","1.88 (0.92–3.84)"
