"characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed"
"Age, per 10 years","1.42 (1.30–1.54)","1.24 (1.06–1.44)","1.19 (1.09–1.30)","0.96 (0.84–1.10)"
"Male sex","0.71 (0.59–0.84)","0.62 (0.45–0.86)","0.79 (0.67–0.94)","0.78 (0.59–1.03)"
"Aortic valve calcification, mild vs none","1.69 (1.37–2.09)","2.29 (1.51–3.49)","1.04 (0.81–1.35)","1.55 (0.98–2.45)"
"Aortic valve calcification, moderate vs none","3.99 (2.90–5.49)","7.33 (4.23–12.68)","2.44 (1.79–3.33)","3.65 (2.14–6.21)"
"Aortic valve calcification, severe vs none","5.35 (3.31–8.64)","6.69 (2.86–15.63)","2.25 (1.39–3.63)","4.57 (2.14–9.79)"
"LVEF <40% vs ≥50%","0.72 (0.53–1.00)","0.33 (0.14–0.78)","0.55 (0.40–0.75)","0.30 (0.16–0.56)"
"LVEF 40–49% vs ≥50%","0.85 (0.61–1.20)","0.63 (0.30–1.30)","0.87 (0.64–1.18)","0.63 (0.36–1.10)"
"E/e', per SD","1.32 (1.20–1.46)","1.40 (1.21–1.61)","1.23 (1.15–1.32)","1.29 (1.16–1.44)"
"Left atrial dimension, per SD","1.11 (1.01–1.22)","1.06 (0.88–1.28)","1.06 (0.97–1.16)","1.00 (0.86–1.15)"
"Septal wall thickness, per SD","1.12 (1.04–1.20)","1.19 (1.05–1.34)","1.07 (0.99–1.17)","1.08 (0.95–1.23)"
"Body mass index, per SD","1.07 (0.98–1.17)","1.06 (0.90–1.25)","1.13 (1.04–1.23)","1.08 (0.95–1.22)"
"Atrial fibrillation or flutter","0.89 (0.70–1.13)","0.75 (0.47–1.20)","0.87 (0.70–1.07)","0.90 (0.63–1.28)"
"eGFR 30–59 vs ≥60","1.47 (1.16–1.87)","1.42 (0.92–2.19)","1.26 (1.02–1.56)","1.29 (0.91–1.85)"
"eGFR <30 vs ≥60","2.12 (1.46–3.07)","2.07 (1.05–4.09)","1.77 (1.21–2.60)","1.72 (0.93–3.18)"
"Dialysis dependence","3.21 (2.06–5.01)","4.39 (2.02–9.55)","1.77 (1.04–3.00)","1.27 (0.51–3.18)"
