"characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed"
"Age, per 10 years","1.45 (1.35–1.55)","1.21 (1.06–1.39)","1.26 (1.18–1.34)","1.04 (0.94–1.15)"
"Male sex","0.67 (0.59–0.77)","0.56 (0.43–0.74)","0.72 (0.64–0.81)","0.62 (0.50–0.76)"
"Aortic valve calcification, mild vs none","1.63 (1.37–1.96)","2.32 (1.57–3.42)","1.04 (0.88–1.22)","1.30 (0.96–1.76)"
"Aortic valve calcification, moderate vs none","4.43 (3.41–5.75)","8.44 (5.11–13.97)","2.13 (1.75–2.60)","3.11 (2.17–4.47)"
"Aortic valve calcification, severe vs none","8.90 (6.04–13.11)","14.29 (7.38–27.69)","3.06 (2.29–4.09)","5.44 (3.38–8.74)"
"LVEF <40% vs ≥50%","0.92 (0.70–1.21)","0.45 (0.22–0.89)","0.76 (0.62–0.94)","0.44 (0.28–0.69)"
"LVEF 40–49% vs ≥50%","0.93 (0.70–1.23)","0.73 (0.39–1.36)","0.92 (0.75–1.13)","0.70 (0.47–1.05)"
"E/e', per SD","1.37 (1.26–1.49)","1.46 (1.29–1.65)","1.25 (1.19–1.31)","1.33 (1.22–1.44)"
"Left atrial dimension, per SD","1.11 (1.03–1.21)","1.12 (0.95–1.32)","1.10 (1.04–1.17)","1.11 (1.01–1.23)"
"Septal wall thickness, per SD","1.15 (1.08–1.23)","1.21 (1.08–1.36)","1.09 (1.03–1.16)","1.11 (1.01–1.23)"
"Body mass index, per SD","1.08 (1.00–1.16)","1.01 (0.87–1.17)","1.05 (0.98–1.11)","1.04 (0.95–1.15)"
"Atrial fibrillation or flutter","0.99 (0.82–1.19)","0.82 (0.55–1.22)","0.94 (0.82–1.08)","0.82 (0.64–1.06)"
"eGFR 30–59 vs ≥60","1.49 (1.23–1.80)","1.68 (1.18–2.39)","1.16 (1.01–1.34)","1.24 (0.95–1.60)"
"eGFR <30 vs ≥60","2.02 (1.48–2.75)","1.91 (0.99–3.67)","1.89 (1.49–2.40)","1.58 (1.02–2.45)"
"Dialysis dependence","2.71 (1.85–3.98)","4.85 (2.41–9.76)","1.56 (1.12–2.19)","1.57 (0.85–2.88)"
