"grace_days","group","n","events","person_years","rate_per_100py","deaths"
0,"None reported",21559,396,91996,"0.43",135
0,"Mild",6918,253,27281,"0.93",44
0,"Moderate or severe",2039,334,5842,"5.72",17
30,"None reported",21559,396,92054,"0.43",2077
30,"Mild",6918,253,27308,"0.93",964
30,"Moderate or severe",2039,334,5851,"5.71",298
90,"None reported",21559,396,92205,"0.43",3060
90,"Mild",6918,253,27381,"0.92",1442
90,"Moderate or severe",2039,334,5875,"5.69",452
365,"None reported",21559,396,93034,"0.43",4588
365,"Mild",6918,253,27761,"0.91",2140
365,"Moderate or severe",2039,334,6008,"5.56",694
