"cohort","definition","characteristic","hr_reported","hr_second_imputation","abs_difference_hr"
"onset","confirmed","Age, per 10 years","1.20 (1.05–1.38)","1.20 (1.05–1.37)","0.002"
"onset","confirmed","Male sex","0.57 (0.43–0.75)","0.57 (0.43–0.75)","0.000"
"onset","confirmed","Aortic valve calcification, mild vs none","2.30 (1.57–3.39)","2.39 (1.64–3.47)","0.083"
"onset","confirmed","Aortic valve calcification, moderate vs none","8.36 (5.07–13.78)","8.27 (4.96–13.80)","0.084"
"onset","confirmed","Aortic valve calcification, severe vs none","14.35 (7.43–27.72)","14.94 (7.91–28.21)","0.586"
"onset","confirmed","LVEF <40% vs ≥50%","0.45 (0.22–0.89)","0.44 (0.22–0.88)","0.002"
"onset","confirmed","LVEF 40–49% vs ≥50%","0.72 (0.39–1.34)","0.70 (0.38–1.29)","0.025"
"onset","confirmed","E/e', per SD","1.46 (1.29–1.65)","1.47 (1.31–1.65)","0.011"
"onset","confirmed","Left atrial dimension, per SD","1.12 (0.95–1.32)","1.12 (0.95–1.31)","0.003"
"onset","confirmed","Septal wall thickness, per SD","1.21 (1.08–1.35)","1.21 (1.08–1.36)","0.005"
"onset","confirmed","Body mass index, per SD","1.01 (0.87–1.17)","1.01 (0.87–1.18)","0.007"
"onset","confirmed","Atrial fibrillation or flutter","0.80 (0.54–1.20)","0.81 (0.54–1.20)","0.005"
"onset","confirmed","eGFR <30 vs ≥60","1.89 (0.98–3.65)","1.96 (1.07–3.58)","0.070"
"onset","confirmed","eGFR 30–59 vs ≥60","1.68 (1.18–2.39)","1.65 (1.17–2.30)","0.039"
"onset","confirmed","Dialysis dependence","4.74 (2.35–9.56)","4.60 (2.32–9.12)","0.139"
"onset","first-observed","Age, per 10 years","1.44 (1.34–1.53)","1.43 (1.34–1.53)","0.003"
"onset","first-observed","Male sex","0.67 (0.58–0.77)","0.67 (0.58–0.77)","0.000"
"onset","first-observed","Aortic valve calcification, mild vs none","1.64 (1.37–1.96)","1.66 (1.39–1.98)","0.017"
"onset","first-observed","Aortic valve calcification, moderate vs none","4.46 (3.44–5.78)","4.49 (3.45–5.84)","0.025"
"onset","first-observed","Aortic valve calcification, severe vs none","8.94 (6.07–13.16)","9.12 (6.29–13.24)","0.183"
"onset","first-observed","LVEF <40% vs ≥50%","0.91 (0.70–1.20)","0.91 (0.71–1.18)","0.000"
"onset","first-observed","LVEF 40–49% vs ≥50%","0.94 (0.71–1.24)","0.94 (0.71–1.23)","0.003"
"onset","first-observed","E/e', per SD","1.37 (1.26–1.49)","1.37 (1.28–1.48)","0.003"
"onset","first-observed","Left atrial dimension, per SD","1.11 (1.03–1.21)","1.11 (1.03–1.21)","0.001"
"onset","first-observed","Septal wall thickness, per SD","1.15 (1.08–1.22)","1.15 (1.07–1.22)","0.002"
"onset","first-observed","Body mass index, per SD","1.07 (1.00–1.16)","1.08 (1.01–1.16)","0.006"
"onset","first-observed","Atrial fibrillation or flutter","1.00 (0.84–1.20)","1.01 (0.84–1.21)","0.004"
"onset","first-observed","eGFR <30 vs ≥60","2.03 (1.49–2.76)","2.10 (1.55–2.86)","0.077"
"onset","first-observed","eGFR 30–59 vs ≥60","1.49 (1.23–1.80)","1.49 (1.25–1.77)","0.001"
"onset","first-observed","Dialysis dependence","2.71 (1.85–3.98)","2.64 (1.79–3.90)","0.070"
"progression","confirmed","Age, per 10 years","1.03 (0.93–1.14)","1.04 (0.94–1.15)","0.006"
"progression","confirmed","Male sex","0.62 (0.50–0.76)","0.62 (0.50–0.76)","0.000"
"progression","confirmed","Aortic valve calcification, mild vs none","1.31 (0.96–1.78)","1.31 (0.96–1.78)","0.001"
"progression","confirmed","Aortic valve calcification, moderate vs none","3.13 (2.18–4.50)","3.12 (2.18–4.47)","0.008"
"progression","confirmed","Aortic valve calcification, severe vs none","5.44 (3.38–8.75)","5.43 (3.34–8.83)","0.005"
"progression","confirmed","LVEF <40% vs ≥50%","0.44 (0.28–0.69)","0.45 (0.29–0.71)","0.013"
"progression","confirmed","LVEF 40–49% vs ≥50%","0.70 (0.47–1.05)","0.70 (0.48–1.02)","0.002"
"progression","confirmed","E/e', per SD","1.33 (1.22–1.44)","1.32 (1.22–1.43)","0.001"
"progression","confirmed","Left atrial dimension, per SD","1.11 (1.01–1.23)","1.11 (1.01–1.23)","0.001"
"progression","confirmed","Septal wall thickness, per SD","1.12 (1.01–1.23)","1.11 (1.00–1.22)","0.006"
"progression","confirmed","Body mass index, per SD","1.04 (0.95–1.15)","1.05 (0.95–1.16)","0.003"
"progression","confirmed","Atrial fibrillation or flutter","0.82 (0.64–1.05)","0.82 (0.64–1.06)","0.004"
"progression","confirmed","eGFR <30 vs ≥60","1.59 (1.03–2.45)","1.68 (1.09–2.60)","0.096"
"progression","confirmed","eGFR 30–59 vs ≥60","1.24 (0.96–1.61)","1.22 (0.96–1.56)","0.015"
"progression","confirmed","Dialysis dependence","1.63 (0.90–2.96)","1.58 (0.87–2.86)","0.050"
"progression","first-observed","Age, per 10 years","1.26 (1.19–1.34)","1.26 (1.19–1.34)","0.002"
"progression","first-observed","Male sex","0.73 (0.65–0.82)","0.73 (0.65–0.82)","0.001"
"progression","first-observed","Aortic valve calcification, mild vs none","1.04 (0.88–1.22)","1.04 (0.88–1.22)","0.001"
"progression","first-observed","Aortic valve calcification, moderate vs none","2.14 (1.75–2.61)","2.15 (1.76–2.63)","0.012"
"progression","first-observed","Aortic valve calcification, severe vs none","3.07 (2.30–4.10)","3.07 (2.32–4.07)","0.001"
"progression","first-observed","LVEF <40% vs ≥50%","0.76 (0.61–0.94)","0.76 (0.60–0.95)","0.004"
"progression","first-observed","LVEF 40–49% vs ≥50%","0.92 (0.75–1.12)","0.92 (0.76–1.13)","0.008"
"progression","first-observed","E/e', per SD","1.25 (1.19–1.31)","1.24 (1.18–1.31)","0.002"
"progression","first-observed","Left atrial dimension, per SD","1.10 (1.04–1.17)","1.10 (1.04–1.17)","0.002"
"progression","first-observed","Septal wall thickness, per SD","1.10 (1.04–1.16)","1.09 (1.03–1.16)","0.003"
"progression","first-observed","Body mass index, per SD","1.05 (0.99–1.11)","1.05 (0.99–1.11)","0.003"
"progression","first-observed","Atrial fibrillation or flutter","0.94 (0.82–1.07)","0.94 (0.82–1.07)","0.003"
"progression","first-observed","eGFR <30 vs ≥60","1.89 (1.49–2.39)","1.91 (1.50–2.42)","0.022"
