"characteristic","onset","progression"
"Age, per 10 years","1.41 (1.26–1.57)","1.23 (1.12–1.35)"
"Male sex","0.57 (0.45–0.72)","0.62 (0.53–0.73)"
"Aortic valve calcification, mild vs none","1.96 (1.42–2.70)","1.00 (0.79–1.27)"
"Aortic valve calcification, moderate vs none","6.02 (3.83–9.46)","1.84 (1.36–2.49)"
"Aortic valve calcification, severe vs none","11.46 (6.61–19.85)","2.80 (1.89–4.16)"
"LVEF <40% vs ≥50%","0.43 (0.25–0.74)","0.43 (0.29–0.63)"
"LVEF 40–49% vs ≥50%","0.71 (0.43–1.17)","0.71 (0.49–1.03)"
"E/e', per SD","1.40 (1.25–1.56)","1.29 (1.20–1.38)"
"Left atrial dimension, per SD","1.13 (0.99–1.29)","1.08 (0.99–1.18)"
"Septal wall thickness, per SD","1.16 (1.05–1.28)","1.10 (1.02–1.20)"
"Body mass index, per SD","1.03 (0.91–1.17)","1.03 (0.95–1.12)"
"Atrial fibrillation or flutter","0.92 (0.68–1.24)","0.94 (0.76–1.17)"
"eGFR 30–59 vs ≥60","1.56 (1.17–2.08)","1.20 (0.95–1.51)"
"eGFR <30 vs ≥60","1.85 (1.14–3.00)","1.73 (1.23–2.43)"
"Dialysis dependence","4.71 (2.73–8.14)","1.87 (1.16–3.01)"
