"characteristic","first_observed","confirmed"
"Age, per 10 years","1.32 (1.19–1.46)","1.09 (0.88–1.34)"
"Male sex","0.80 (0.64–1.00)","0.74 (0.48–1.15)"
"Aortic valve calcification, mild vs none","1.65 (1.26–2.16)","2.67 (1.52–4.67)"
"Aortic valve calcification, moderate vs none","4.12 (2.68–6.34)","8.84 (4.00–19.53)"
"Aortic valve calcification, severe vs none","4.83 (2.32–10.05)","6.75 (1.38–33.08)"
"LVEF <40% vs ≥50%","0.65 (0.42–1.01)","0.48 (0.17–1.35)"
"LVEF 40–49% vs ≥50%","0.87 (0.57–1.34)","0.77 (0.30–1.98)"
"E/e', per SD","1.30 (1.16–1.45)","1.44 (1.21–1.71)"
"Left atrial dimension, per SD","1.08 (0.96–1.23)","0.88 (0.68–1.13)"
"Septal wall thickness, per SD","1.07 (0.98–1.18)","1.20 (1.03–1.41)"
"Body mass index, per SD","1.07 (0.96–1.20)","1.24 (1.00–1.53)"
"Atrial fibrillation or flutter","0.88 (0.64–1.21)","0.85 (0.43–1.68)"
"eGFR 30–59 vs ≥60","1.71 (1.28–2.29)","1.57 (0.84–2.96)"
"eGFR <30 vs ≥60","2.95 (1.89–4.61)","3.20 (1.38–7.45)"
"Dialysis dependence","3.17 (1.85–5.45)","4.31 (1.61–11.57)"
