"characteristic","Demographic (n = 21,637; events 1039)","+ Cardiac structure (n = 21,637; events 1039)","+ Kidney function (main model) (n = 21,637; events 1039)","+ Mineral markers (n = 9,914; events 423)","+ Coded diagnoses (n = 5,421; events 250)","Cox companion (n = 21,637; events 1039)"
"Age, per 10 years","1.75 (1.66–1.85)","1.44 (1.35–1.53)","1.44 (1.34–1.53)","1.39 (1.25–1.53)","1.50 (1.31–1.72)","1.46 (1.37–1.57)"
"Male sex","0.80 (0.71–0.90)","0.67 (0.58–0.77)","0.67 (0.58–0.77)","0.64 (0.52–0.80)","0.55 (0.41–0.73)","0.67 (0.58–0.77)"
"Aortic valve calcification, mild vs none","","1.65 (1.39–1.98)","1.64 (1.37–1.96)","1.57 (1.22–2.03)","1.41 (0.99–1.99)","1.64 (1.37–1.96)"
"Aortic valve calcification, moderate vs none","","4.34 (3.35–5.62)","4.46 (3.44–5.78)","4.21 (2.86–6.22)","5.31 (3.30–8.53)","4.46 (3.43–5.79)"
"Aortic valve calcification, severe vs none","","8.43 (5.74–12.39)","8.94 (6.07–13.16)","8.61 (3.34–22.18)","5.09 (1.85–13.96)","8.79 (5.95–12.98)"
"LVEF <40% vs ≥50%","","0.91 (0.69–1.19)","0.91 (0.70–1.20)","0.80 (0.54–1.19)","0.78 (0.42–1.44)","0.92 (0.70–1.20)"
"LVEF 40–49% vs ≥50%","","0.93 (0.70–1.23)","0.94 (0.71–1.24)","1.21 (0.82–1.78)","0.65 (0.33–1.28)","0.94 (0.71–1.24)"
"E/e', per SD","","1.42 (1.31–1.55)","1.37 (1.26–1.49)","1.28 (1.14–1.42)","1.37 (1.18–1.59)","1.37 (1.26–1.49)"
"Left atrial dimension, per SD","","1.12 (1.04–1.22)","1.11 (1.03–1.21)","1.15 (1.02–1.30)","1.14 (0.94–1.39)","1.11 (1.02–1.21)"
"Septal wall thickness, per SD","","1.17 (1.10–1.25)","1.15 (1.08–1.22)","1.15 (1.02–1.30)","1.15 (0.99–1.34)","1.14 (1.07–1.22)"
"Body mass index, per SD","","1.06 (0.99–1.14)","1.07 (1.00–1.16)","0.99 (0.89–1.10)","0.95 (0.81–1.12)","1.08 (1.01–1.16)"
"Atrial fibrillation or flutter","","0.96 (0.80–1.15)","1.00 (0.84–1.20)","1.00 (0.79–1.28)","1.08 (0.78–1.49)","1.00 (0.83–1.20)"
"eGFR 30–59 vs ≥60","","","1.49 (1.23–1.80)","1.72 (1.34–2.23)","1.18 (0.83–1.66)","1.51 (1.24–1.83)"
"eGFR <30 vs ≥60","","","2.03 (1.49–2.76)","2.10 (1.44–3.07)","2.18 (1.26–3.77)","2.04 (1.49–2.79)"
"Dialysis dependence","","","2.71 (1.85–3.98)","1.78 (1.14–2.79)","2.42 (1.25–4.69)","2.80 (1.91–4.11)"
"Serum phosphate, per SD","","","","1.13 (1.03–1.25)","",""
"Serum calcium, per SD","","","","0.96 (0.84–1.10)","",""
"Alkaline phosphatase, per SD (log)","","","","1.20 (1.08–1.34)","",""
"Diabetes","","","","","1.19 (0.89–1.59)",""
"Hypertension","","","","","1.35 (0.93–1.97)",""
"Coronary artery disease","","","","","1.04 (0.76–1.41)",""
