"characteristic","Demographic (n = 21,637; events 250)","+ Cardiac structure (n = 21,637; events 250)","+ Kidney function (main model) (n = 21,637; events 250)","+ Mineral markers (n = 9,914; events 104)","+ Coded diagnoses (n = 5,421; events 57)","Cox companion (n = 21,637; events 250)"
"Age, per 10 years","1.57 (1.41–1.76)","1.18 (1.04–1.35)","1.20 (1.05–1.38)","1.17 (0.96–1.44)","1.36 (1.00–1.84)","1.22 (1.06–1.39)"
"Male sex","0.72 (0.56–0.92)","0.58 (0.44–0.77)","0.57 (0.43–0.75)","0.46 (0.30–0.72)","0.49 (0.26–0.91)","0.57 (0.43–0.75)"
"Aortic valve calcification, mild vs none","","2.31 (1.58–3.39)","2.30 (1.57–3.39)","1.78 (1.01–3.14)","2.13 (0.99–4.59)","2.29 (1.56–3.37)"
"Aortic valve calcification, moderate vs none","","7.81 (4.74–12.87)","8.36 (5.07–13.78)","7.79 (3.67–16.54)","8.41 (3.08–22.97)","8.29 (5.03–13.68)"
"Aortic valve calcification, severe vs none","","12.75 (6.53–24.90)","14.35 (7.43–27.72)","29.62 (7.19–122.10)","10.56 (1.92–58.02)","14.04 (7.25–27.19)"
"LVEF <40% vs ≥50%","","0.43 (0.21–0.86)","0.45 (0.22–0.89)","0.57 (0.23–1.45)","0.34 (0.07–1.64)","0.45 (0.23–0.90)"
"LVEF 40–49% vs ≥50%","","0.71 (0.38–1.32)","0.72 (0.39–1.34)","0.78 (0.30–2.04)","0.51 (0.11–2.32)","0.73 (0.39–1.36)"
"E/e', per SD","","1.56 (1.38–1.76)","1.46 (1.29–1.65)","1.35 (1.15–1.58)","1.55 (1.23–1.94)","1.46 (1.29–1.65)"
"Left atrial dimension, per SD","","1.13 (0.97–1.33)","1.12 (0.95–1.32)","0.96 (0.75–1.22)","1.16 (0.73–1.84)","1.12 (0.95–1.31)"
"Septal wall thickness, per SD","","1.24 (1.11–1.38)","1.21 (1.08–1.35)","1.43 (1.14–1.79)","1.47 (1.15–1.87)","1.20 (1.07–1.35)"
"Body mass index, per SD","","0.98 (0.85–1.14)","1.01 (0.87–1.17)","0.98 (0.79–1.20)","0.96 (0.69–1.34)","1.01 (0.87–1.17)"
"Atrial fibrillation or flutter","","0.74 (0.49–1.11)","0.80 (0.54–1.20)","0.92 (0.54–1.57)","0.82 (0.39–1.74)","0.80 (0.54–1.20)"
"eGFR 30–59 vs ≥60","","","1.68 (1.18–2.39)","1.79 (1.06–3.03)","1.71 (0.85–3.45)","1.69 (1.19–2.40)"
"eGFR <30 vs ≥60","","","1.89 (0.98–3.65)","1.59 (0.70–3.59)","2.13 (0.60–7.54)","1.90 (0.98–3.69)"
"Dialysis dependence","","","4.74 (2.35–9.56)","2.58 (1.00–6.61)","5.28 (1.27–22.02)","4.76 (2.34–9.67)"
"Serum phosphate, per SD","","","","1.25 (1.03–1.52)","",""
"Serum calcium, per SD","","","","0.90 (0.72–1.12)","",""
"Alkaline phosphatase, per SD (log)","","","","1.15 (0.95–1.39)","",""
"Diabetes","","","","","1.26 (0.69–2.32)",""
"Hypertension","","","","","1.90 (0.72–5.00)",""
"Coronary artery disease","","","","","0.74 (0.38–1.43)",""
