"characteristic","Demographic (n = 6,945; events 1606)","+ Cardiac structure (n = 6,945; events 1606)","+ Kidney function (main model) (n = 6,945; events 1606)","+ Mineral markers (n = 3,249; events 709)","+ Coded diagnoses (n = 1,723; events 382)","Cox companion (n = 6,945; events 1606)"
"Age, per 10 years","1.39 (1.32–1.47)","1.25 (1.18–1.33)","1.26 (1.19–1.34)","1.18 (1.09–1.29)","1.29 (1.14–1.45)","1.27 (1.19–1.35)"
"Male sex","0.81 (0.73–0.90)","0.73 (0.65–0.82)","0.73 (0.65–0.82)","0.78 (0.65–0.92)","0.74 (0.59–0.94)","0.73 (0.65–0.82)"
"Aortic valve calcification, mild vs none","","1.02 (0.86–1.20)","1.04 (0.88–1.22)","1.12 (0.89–1.42)","1.15 (0.85–1.57)","1.04 (0.88–1.22)"
"Aortic valve calcification, moderate vs none","","2.09 (1.71–2.54)","2.14 (1.75–2.61)","2.14 (1.58–2.90)","2.42 (1.67–3.50)","2.14 (1.75–2.61)"
"Aortic valve calcification, severe vs none","","3.00 (2.26–3.98)","3.07 (2.30–4.10)","2.89 (1.77–4.72)","4.85 (2.42–9.71)","3.05 (2.29–4.06)"
"LVEF <40% vs ≥50%","","0.74 (0.60–0.92)","0.76 (0.61–0.94)","0.75 (0.57–0.99)","0.45 (0.25–0.82)","0.76 (0.61–0.94)"
"LVEF 40–49% vs ≥50%","","0.94 (0.77–1.15)","0.92 (0.75–1.12)","0.88 (0.65–1.19)","0.55 (0.32–0.92)","0.92 (0.75–1.12)"
"E/e', per SD","","1.27 (1.21–1.33)","1.25 (1.19–1.31)","1.20 (1.11–1.29)","1.18 (1.07–1.31)","1.25 (1.19–1.31)"
"Left atrial dimension, per SD","","1.11 (1.05–1.18)","1.10 (1.04–1.17)","1.10 (1.00–1.21)","1.23 (1.08–1.41)","1.10 (1.04–1.17)"
"Septal wall thickness, per SD","","1.11 (1.05–1.17)","1.10 (1.04–1.16)","1.12 (1.03–1.21)","1.01 (0.89–1.14)","1.10 (1.04–1.16)"
"Body mass index, per SD","","1.04 (0.99–1.11)","1.05 (0.99–1.11)","1.02 (0.94–1.11)","0.93 (0.82–1.06)","1.05 (0.99–1.11)"
"Atrial fibrillation or flutter","","0.93 (0.81–1.07)","0.94 (0.82–1.07)","0.93 (0.78–1.11)","0.82 (0.63–1.08)","0.94 (0.82–1.07)"
"eGFR 30–59 vs ≥60","","","1.16 (1.00–1.34)","1.23 (1.02–1.49)","0.99 (0.77–1.27)","1.16 (1.00–1.33)"
"eGFR <30 vs ≥60","","","1.89 (1.49–2.39)","2.14 (1.58–2.90)","1.91 (1.21–3.03)","1.88 (1.48–2.39)"
"Dialysis dependence","","","1.58 (1.13–2.21)","1.01 (0.69–1.48)","1.09 (0.61–1.97)","1.58 (1.13–2.20)"
"Serum phosphate, per SD","","","","1.06 (0.98–1.14)","",""
"Serum calcium, per SD","","","","1.01 (0.93–1.10)","",""
"Alkaline phosphatase, per SD (log)","","","","1.13 (1.04–1.22)","",""
"Diabetes","","","","","1.61 (1.28–2.02)",""
"Hypertension","","","","","0.97 (0.72–1.32)",""
"Coronary artery disease","","","","","0.93 (0.74–1.16)",""
