"characteristic","Demographic (n = 6,945; events 528)","+ Cardiac structure (n = 6,945; events 528)","+ Kidney function (main model) (n = 6,945; events 528)","+ Mineral markers (n = 3,249; events 209)","+ Coded diagnoses (n = 1,723; events 108)","Cox companion (n = 6,945; events 528)"
"Age, per 10 years","1.21 (1.11–1.33)","1.03 (0.93–1.14)","1.03 (0.93–1.14)","0.96 (0.82–1.12)","1.10 (0.88–1.37)","1.04 (0.94–1.15)"
"Male sex","0.69 (0.58–0.83)","0.62 (0.51–0.76)","0.62 (0.50–0.76)","0.58 (0.42–0.81)","0.70 (0.45–1.10)","0.62 (0.51–0.76)"
"Aortic valve calcification, mild vs none","","1.28 (0.94–1.75)","1.31 (0.96–1.78)","1.20 (0.77–1.88)","1.43 (0.78–2.62)","1.30 (0.96–1.77)"
"Aortic valve calcification, moderate vs none","","3.06 (2.13–4.38)","3.13 (2.18–4.50)","2.74 (1.57–4.78)","4.07 (1.96–8.44)","3.12 (2.18–4.49)"
"Aortic valve calcification, severe vs none","","5.19 (3.22–8.37)","5.44 (3.38–8.75)","5.40 (2.47–11.79)","10.38 (3.10–34.73)","5.40 (3.36–8.68)"
"LVEF <40% vs ≥50%","","0.44 (0.28–0.68)","0.44 (0.28–0.69)","0.42 (0.22–0.78)","0.11 (0.01–0.87)","0.44 (0.28–0.69)"
"LVEF 40–49% vs ≥50%","","0.72 (0.48–1.07)","0.70 (0.47–1.05)","0.74 (0.41–1.33)","0.23 (0.06–0.98)","0.70 (0.47–1.04)"
"E/e', per SD","","1.34 (1.24–1.46)","1.33 (1.22–1.44)","1.22 (1.07–1.38)","1.17 (0.95–1.43)","1.33 (1.22–1.44)"
"Left atrial dimension, per SD","","1.12 (1.01–1.24)","1.11 (1.01–1.23)","1.29 (1.08–1.53)","1.31 (1.03–1.67)","1.11 (1.01–1.23)"
"Septal wall thickness, per SD","","1.13 (1.03–1.25)","1.12 (1.01–1.23)","1.09 (0.93–1.28)","1.06 (0.79–1.42)","1.11 (1.01–1.23)"
"Body mass index, per SD","","1.04 (0.94–1.15)","1.04 (0.95–1.15)","1.08 (0.94–1.24)","1.00 (0.77–1.28)","1.04 (0.95–1.15)"
"Atrial fibrillation or flutter","","0.82 (0.64–1.05)","0.82 (0.64–1.05)","0.84 (0.59–1.18)","0.62 (0.36–1.05)","0.82 (0.63–1.05)"
"eGFR 30–59 vs ≥60","","","1.24 (0.96–1.61)","1.44 (1.02–2.05)","1.19 (0.75–1.90)","1.24 (0.95–1.60)"
"eGFR <30 vs ≥60","","","1.59 (1.03–2.45)","1.65 (0.86–3.19)","1.73 (0.63–4.77)","1.59 (1.03–2.45)"
"Dialysis dependence","","","1.63 (0.90–2.96)","1.00 (0.47–2.12)","1.20 (0.34–4.19)","1.63 (0.90–2.95)"
"Serum phosphate, per SD","","","","1.10 (0.98–1.23)","",""
"Serum calcium, per SD","","","","0.97 (0.83–1.14)","",""
"Alkaline phosphatase, per SD (log)","","","","1.14 (0.97–1.33)","",""
"Diabetes","","","","","1.65 (1.09–2.48)",""
"Hypertension","","","","","1.06 (0.58–1.93)",""
"Coronary artery disease","","","","","0.76 (0.49–1.18)",""
