"characteristic","Inverse-intensity weighted (visit-process model), first-observed","Censoring weighted, first-observed","Inverse-intensity weighted (visit-process model), confirmed","Censoring weighted, confirmed"
"Age, per 10 years","1.46 (1.36–1.57)","1.44 (1.33–1.56)","1.19 (1.03–1.37)","1.27 (1.08–1.48)"
"Male sex","0.67 (0.58–0.77)","0.66 (0.55–0.78)","0.59 (0.44–0.78)","0.60 (0.41–0.87)"
"Aortic valve calcification, mild vs none","1.63 (1.35–1.96)","1.66 (1.31–2.09)","2.32 (1.56–3.45)","2.23 (1.29–3.84)"
"Aortic valve calcification, moderate vs none","4.55 (3.45–5.99)","4.33 (3.13–6.00)","8.78 (5.21–14.79)","8.26 (4.16–16.39)"
"Aortic valve calcification, severe vs none","8.46 (5.61–12.76)","9.22 (5.77–14.72)","14.70 (7.22–29.93)","15.75 (6.05–40.98)"
"LVEF <40% vs ≥50%","0.92 (0.70–1.21)","0.85 (0.63–1.15)","0.43 (0.21–0.86)","0.48 (0.23–1.03)"
"LVEF 40–49% vs ≥50%","0.92 (0.69–1.21)","0.90 (0.66–1.22)","0.66 (0.34–1.26)","0.82 (0.40–1.67)"
"E/e', per SD","1.42 (1.30–1.54)","1.41 (1.29–1.55)","1.56 (1.38–1.76)","1.46 (1.27–1.68)"
"Left atrial dimension, per SD","1.12 (1.03–1.21)","1.16 (1.05–1.28)","1.13 (0.96–1.33)","1.15 (0.96–1.38)"
"Septal wall thickness, per SD","1.13 (1.05–1.21)","1.17 (1.08–1.28)","1.16 (1.03–1.30)","1.25 (1.07–1.48)"
"Body mass index, per SD","1.09 (1.01–1.17)","1.05 (0.95–1.15)","1.01 (0.86–1.18)","1.00 (0.84–1.20)"
"Atrial fibrillation or flutter","0.99 (0.82–1.20)","0.93 (0.76–1.13)","0.73 (0.48–1.12)","0.77 (0.49–1.19)"
"eGFR 30–59 vs ≥60","1.45 (1.18–1.78)","1.52 (1.22–1.90)","1.68 (1.16–2.45)","1.65 (0.98–2.80)"
"eGFR <30 vs ≥60","1.99 (1.43–2.77)","2.14 (1.50–3.06)","1.86 (0.93–3.74)","1.87 (0.71–4.90)"
"Dialysis dependence","3.12 (2.08–4.67)","2.27 (1.47–3.53)","4.87 (2.31–10.28)","4.78 (1.96–11.67)"
