"characteristic","Inverse-intensity weighted (visit-process model), first-observed","Censoring weighted, first-observed","Inverse-intensity weighted (visit-process model), confirmed","Censoring weighted, confirmed"
"Age, per 10 years","1.29 (1.21–1.38)","1.24 (1.16–1.34)","1.05 (0.94–1.16)","1.04 (0.92–1.17)"
"Male sex","0.74 (0.66–0.84)","0.74 (0.65–0.85)","0.64 (0.52–0.80)","0.57 (0.45–0.72)"
"Aortic valve calcification, mild vs none","1.08 (0.91–1.28)","1.01 (0.82–1.25)","1.40 (1.02–1.92)","1.20 (0.79–1.80)"
"Aortic valve calcification, moderate vs none","2.26 (1.84–2.78)","2.11 (1.66–2.68)","3.26 (2.25–4.73)","3.12 (1.95–4.97)"
"Aortic valve calcification, severe vs none","3.13 (2.32–4.22)","2.80 (2.02–3.90)","5.28 (3.21–8.69)","4.23 (2.39–7.50)"
"LVEF <40% vs ≥50%","0.70 (0.56–0.87)","0.72 (0.58–0.90)","0.37 (0.23–0.58)","0.44 (0.27–0.72)"
"LVEF 40–49% vs ≥50%","0.91 (0.74–1.13)","0.89 (0.72–1.11)","0.70 (0.47–1.06)","0.69 (0.45–1.07)"
"E/e', per SD","1.30 (1.23–1.36)","1.25 (1.19–1.32)","1.37 (1.26–1.49)","1.31 (1.20–1.43)"
"Left atrial dimension, per SD","1.10 (1.04–1.17)","1.12 (1.05–1.21)","1.12 (1.01–1.24)","1.16 (1.03–1.32)"
"Septal wall thickness, per SD","1.11 (1.04–1.17)","1.11 (1.04–1.18)","1.16 (1.04–1.29)","1.08 (0.95–1.22)"
"Body mass index, per SD","1.06 (1.00–1.12)","1.05 (0.98–1.12)","1.03 (0.93–1.14)","1.04 (0.93–1.17)"
"Atrial fibrillation or flutter","0.94 (0.82–1.08)","0.86 (0.73–1.00)","0.76 (0.59–0.99)","0.75 (0.57–0.99)"
"eGFR 30–59 vs ≥60","1.14 (0.98–1.31)","1.17 (0.98–1.39)","1.22 (0.93–1.59)","1.25 (0.90–1.73)"
"eGFR <30 vs ≥60","1.91 (1.49–2.45)","1.95 (1.49–2.55)","1.60 (1.02–2.52)","1.64 (1.00–2.68)"
"Dialysis dependence","1.72 (1.22–2.43)","1.47 (1.03–2.10)","1.57 (0.83–2.98)","1.83 (0.99–3.36)"
