"characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed"
"Age, per 10 years","1.35 (1.26–1.44)","1.12 (0.98–1.27)","1.20 (1.13–1.27)","0.98 (0.88–1.08)"
"Male sex","0.65 (0.56–0.74)","0.57 (0.43–0.74)","0.71 (0.63–0.79)","0.61 (0.50–0.74)"
"Aortic valve calcification, mild vs none","1.73 (1.45–2.08)","2.43 (1.65–3.58)","1.05 (0.89–1.24)","1.33 (0.98–1.80)"
"Aortic valve calcification, moderate vs none","4.30 (3.31–5.58)","7.84 (4.74–12.96)","2.17 (1.78–2.64)","3.10 (2.16–4.46)"
"Aortic valve calcification, severe vs none","7.42 (5.07–10.86)","12.75 (6.59–24.68)","3.05 (2.30–4.05)","5.13 (3.17–8.30)"
"LVEF <40% vs ≥50%","0.81 (0.62–1.06)","0.38 (0.19–0.75)","0.65 (0.52–0.81)","0.39 (0.25–0.61)"
"LVEF 40–49% vs ≥50%","0.86 (0.66–1.13)","0.66 (0.36–1.22)","0.85 (0.69–1.04)","0.66 (0.44–0.98)"
"E/e', per SD","1.32 (1.22–1.43)","1.41 (1.25–1.59)","1.24 (1.18–1.31)","1.30 (1.20–1.42)"
"Left atrial dimension, per SD","1.11 (1.03–1.20)","1.11 (0.95–1.30)","1.12 (1.06–1.19)","1.12 (1.01–1.23)"
"Septal wall thickness, per SD","1.14 (1.07–1.22)","1.21 (1.08–1.35)","1.10 (1.04–1.16)","1.12 (1.01–1.23)"
"Body mass index, per SD","1.09 (1.02–1.17)","1.03 (0.89–1.18)","1.06 (1.00–1.12)","1.06 (0.96–1.17)"
"Atrial fibrillation or flutter","0.94 (0.79–1.13)","0.76 (0.51–1.13)","0.87 (0.76–1.00)","0.77 (0.60–0.99)"
"eGFR 30–59 vs ≥60","1.38 (1.13–1.68)","1.59 (1.12–2.26)","1.10 (0.95–1.26)","1.18 (0.91–1.53)"
"eGFR <30 vs ≥60","1.74 (1.29–2.35)","1.64 (0.86–3.12)","1.67 (1.33–2.10)","1.39 (0.91–2.11)"
"Dialysis dependence","2.58 (1.78–3.73)","4.06 (2.07–7.98)","1.37 (0.99–1.90)","1.36 (0.77–2.42)"
