"definition","characteristic","onset_first","onset_confirmed","progression_first","progression_confirmed"
"lowest creatinine (main)","eGFR 30–59 vs ≥60","1.67 (1.39–2.02)","2.02 (1.38–2.97)","1.18 (1.02–1.36)","1.29 (1.00–1.66)"
"lowest creatinine (main)","eGFR <30 vs ≥60","2.55 (1.88–3.46)","2.27 (1.14–4.54)","2.32 (1.86–2.90)","1.91 (1.21–3.00)"
"lowest creatinine (main)","Dialysis dependence","2.20 (1.50–3.21)","4.04 (1.91–8.55)","1.29 (0.93–1.78)","1.38 (0.75–2.55)"
"median creatinine","eGFR 30–59 vs ≥60","1.59 (1.33–1.91)","1.60 (1.09–2.36)","1.13 (0.99–1.30)","1.19 (0.93–1.53)"
"median creatinine","eGFR <30 vs ≥60","2.86 (2.21–3.69)","3.98 (2.39–6.63)","2.04 (1.67–2.49)","2.01 (1.40–2.89)"
"median creatinine","Dialysis dependence","2.01 (1.41–2.86)","2.56 (1.34–4.90)","1.42 (1.04–1.93)","1.31 (0.75–2.29)"
"most recent creatinine","eGFR 30–59 vs ≥60","1.59 (1.33–1.90)","2.16 (1.48–3.15)","1.14 (0.99–1.30)","1.23 (0.96–1.58)"
"most recent creatinine","eGFR <30 vs ≥60","2.92 (2.28–3.72)","3.95 (2.34–6.66)","2.33 (1.93–2.82)","2.25 (1.60–3.17)"
"most recent creatinine","Dialysis dependence","1.99 (1.40–2.83)","2.76 (1.44–5.28)","1.29 (0.95–1.75)","1.22 (0.71–2.10)"
"phosphate: median of the year (main)","Serum phosphate, per SD","1.13 (1.03–1.25)","1.25 (1.03–1.52)","1.06 (0.98–1.14)","1.10 (0.98–1.23)"
"phosphate: most recent value","Serum phosphate, per SD","1.19 (1.08–1.30)","1.17 (0.97–1.41)","1.06 (0.98–1.14)","1.11 (0.98–1.26)"
